pct,month,bnf_name,bnf_code,items,cost
00J,2017-10-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1656.98211
00J,2018-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.17247
00J,2018-06-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1660.81253
00J,2018-08-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1662.49262
00J,2018-09-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1660.80644
00J,2018-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.18505
00J,2019-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.21922
00K,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,8,135.85
00K,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.18
00K,2011-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.22
00K,2011-02-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.11
00K,2014-03-01,Colistimeth Sod_Pdr Inh Cap 1.663 mega u,0501070I0AAAGAG,1,895.57
00K,2014-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.13
00K,2015-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.14
00K,2016-02-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.15
00K,2019-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.59069
00L,2010-11-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
00L,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
00L,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,60.36
00L,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.269999999999996
00L,2011-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
00L,2012-11-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1649.62
00L,2013-04-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1652.61
00L,2014-01-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1652.93
00L,2018-11-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,415.17661
00L,2019-02-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1662.24208
00L,2019-04-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1663.07675
00L,2019-07-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1663.93821
00M,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,8,120.79999999999998
00M,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.2
00M,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,5,75.45
00M,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
00M,2011-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
00M,2014-01-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,894.63
00M,2015-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
00M,2017-06-01,Colistimeth Sod_Pdr Inh Cap 1.663 mega u,0501070I0AAAGAG,1,897.28221
00N,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,60.3
00N,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1
00N,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,45.239999999999995
00N,2014-06-01,Colistimeth Sod_Pdr Inh Cap 1.663 mega u,0501070I0AAAGAG,1,914.73
00P,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.3
00P,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
00P,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,6,105.60000000000001
00P,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
00P,2012-03-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.14
00P,2012-09-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
00P,2013-03-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1654.67
00P,2013-04-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1652.63
00P,2013-08-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,2,3304.93
00P,2013-10-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1653.79
00P,2014-01-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,2,3305.89
00P,2015-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.22
00P,2019-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.20462
00Q,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,4,60.4
00Q,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
00Q,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
00R,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,6,135.8
00R,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
00R,2011-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,45.3
00R,2016-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.12
00T,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
00T,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.3
00T,2011-11-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.11
00T,2012-05-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1652.42
00T,2012-07-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1651.7
00T,2016-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.24
00T,2018-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.17614
00T,2018-05-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1661.26701
00X,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.2
00X,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
00X,2014-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.13
00Y,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,4,60.4
00Y,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
00Y,2012-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,30.18
00Y,2018-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.52842
00Y,2019-06-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,900.34635
00Y,2019-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.21922
01A,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.2
01A,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.3
01A,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,7,120.69
01A,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,5,75.46000000000001
01A,2011-02-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.11
01A,2011-10-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,60.31
01C,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.2
01C,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,30.15
01C,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
01C,2011-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
01C,2014-04-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,1,1652.85
01C,2015-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
01D,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,30.16
01D,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
01D,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
01D,2015-08-01,Colistimeth Sod_Pdr Inh Cap 1.663 mega u,0501070I0AAAGAG,1,895.62
01D,2016-04-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.15
01E,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,45.26
01E,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,3,45.3
01E,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
01E,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.18
01E,2013-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.12
01E,2015-09-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1656.19
01E,2015-12-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,827.57
01E,2016-02-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1656.56
01E,2016-05-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1656.67
01E,2016-08-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1658.57
01E,2017-01-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1657.11385
01E,2017-04-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1657.10812
01E,2017-10-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1656.98211
01E,2017-12-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1658.05414
01E,2018-02-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1659.12581
01E,2019-03-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.21177
01F,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1
01F,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
01F,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
01F,2019-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.43844
01F,2019-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.21922
01G,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.18
01G,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
01G,2013-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.12
01H,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,4,60.4
01H,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
01H,2012-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.13
01H,2012-03-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.28
01H,2012-06-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1648.91
01H,2012-10-01,Tobramycin_Pdr Inh Cap 28mg + Dev,0501040U0AAALAL,2,825.44
01H,2012-11-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1649.63
01H,2012-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1
01H,2013-01-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1653.03
01H,2013-06-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1670.66
01H,2013-08-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1652.46
01H,2013-10-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1653.79
01H,2014-01-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,2,3305.88
01H,2014-03-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1674.69
01H,2014-04-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1652.85
01H,2014-05-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1654.32
01H,2014-07-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1655.32
01H,2014-11-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1650.93
01H,2014-12-01,Colobreathe_Pdr For Inh Cap 1.663 mega u,0501070I0BDAAAG,1,914.97
01H,2014-12-01,Tobi_Podhaler Pdr Inh Cap 28mg + Dev,0501040U0BCABAL,1,1653.59
01H,2015-02-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.14
01H,2015-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.14
01H,2017-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.16635
01H,2019-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.19222
01H,2019-03-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.21177
01H,2019-05-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.20523
01K,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.2
01K,2015-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.14
01K,2016-04-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,30.29
01K,2019-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.21922
01R,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,30.16
01R,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
01T,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
01V,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1
01V,2011-03-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
01W,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.2
01W,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
01W,2016-04-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.15
01W,2019-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.21922
01X,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.3
01X,2019-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.43844
01Y,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
01Y,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1
01Y,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.269999999999996
01Y,2014-06-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.12
02A,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,5,120.7
02A,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,90.46
02A,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.269999999999996
02A,2012-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.19
02A,2015-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.14
02A,2019-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1969
02D,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
02D,2013-03-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.14
02D,2019-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.20462
02E,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,9,135.89999999999998
02E,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
02E,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
02E,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.09
02E,2011-05-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
02E,2013-04-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,45.36
02E,2014-10-01,Colistimeth Sod_Pdr Inh Cap 1.663 mega u,0501070I0AAAGAG,1,895.57
02E,2014-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.25
02E,2015-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
02E,2015-03-01,Colistimeth Sod_Pdr Inh Cap 1.663 mega u,0501070I0AAAGAG,1,916.84
02F,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1
02F,2011-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
02F,2019-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.20462
02G,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1
02G,2019-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.21922
02H,2010-12-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.1
02H,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,60.36
02H,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
02H,2016-03-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.16
02M,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,3,60.36
02M,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.18
02M,2011-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.15
02M,2018-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,1,15.17247
02M,2018-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.17247
02N,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,4,60.4
02N,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.09
02N,2011-09-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.11
02N,2017-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.15775
02N,2018-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.17614
02N,2019-03-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.21177
02P,2010-12-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.1
02P,2011-01-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,2,30.18
02P,2012-02-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.13
02P,2018-01-01,Relenza_Disk 5mg & Diskhaler,0503040A0BBAAAA,2,30.34493
02P,2018-04-01,Zanamivir_Pdr For Inh 5mg Disk + Dev,0503040A0AAAAAA,1,15.18452
